Date,MV_gamma_1,MV_gamma_2,MV_gamma_5,MV_gamma_10,MV_gamma_20,MV_gamma_50,MV_gamma_100
2010-04-12,-0.005751447101381868,-0.002808077983168955,-0.00013378364361393835,0.0009140409745598266,0.00138289680352921,0.0016548073899245175,0.0017717094369227304
2010-04-13,-0.0027674459711454213,-0.0010561746230799418,0.0005990579295018783,0.001447052462306475,0.0017966089787300188,0.0019971343296898425,0.002074587003887851
2010-04-14,0.004011168857694036,0.0020021353012267262,0.00036761208784530375,0.00011497832848750278,-5.9589732900322545e-05,-0.000112588861694074,-6.619329864210322e-05
2010-04-15,0.004549634896697574,0.0031283392975438584,0.0022970928905503563,0.0025036433056568885,0.002474294994590398,0.002347667577224044,0.002294065113178645
2010-04-16,-0.021887666749928036,-0.012129859884861371,-0.0037883446444217928,-0.0013152694083908845,-7.733241285934334e-05,0.0006584368247926076,0.0009049797680349414
2010-04-19,-0.0010774551830405876,-0.001689263380775241,-0.002067621859921598,-0.002012103503994389,-0.0020332038391369656,-0.0022508333194973806,-0.0024101959858757738
2010-04-20,0.0035458258619023297,0.002723784629186321,0.002053499434712558,0.0020302785822112757,0.0020345807146875394,0.0020713322524024136,0.0021145102054052067
2010-04-21,0.006705581128300553,0.0050573240119062834,0.003934901467648189,0.0038564787119761412,0.0037102971115450245,0.0035427334235640373,0.0034920720721742793
2010-04-22,-0.003481971678106932,-0.0027721054872349438,-0.002155267284224993,-0.001855904353319504,-0.0017384165865498291,-0.00162870060745135,-0.001548205656875301
2010-04-23,0.011506181370343427,0.006063535241524143,0.001777916150796477,0.0008852818104234661,0.00035191525994626716,-8.420379638685027e-05,-0.00023650678660214197
2010-04-26,-0.003561687022468285,-0.001897287840742723,-0.0006104787788224764,-0.0003650760633598926,-0.0001930955469898743,-8.723977230040703e-05,-7.083705185839673e-05
2010-04-27,0.012266040285501933,0.009388137791913831,0.007020774405040564,0.005689500258053259,0.0050177534236715005,0.0044206461814861875,0.004143950843791044
2010-04-28,-0.001893072682808361,-0.002673679830589526,-0.003436096971505931,-0.003641828908795608,-0.0037121016240857507,-0.0036969699467096495,-0.0036738575496826353
2010-04-29,0.0010919784125029697,0.0018657005795719162,0.002652301945350377,0.003286049037263039,0.0035325514102744204,0.003661388772798091,0.003727943462676908
2010-04-30,0.007689900819726869,0.006381007667377592,0.00497889164030374,0.0038692976716319105,0.0034788607819524753,0.0034586511756262706,0.0034596379886702167
2010-05-03,0.00327532820023535,0.0013078882909625111,-6.291048224194018e-05,8.258581619835503e-05,-5.432385829617914e-05,-0.0001919143846057514,-0.00019549734697799082
2010-05-04,-0.008588804169373576,-0.004914573867354166,-0.0009373626907296373,-0.00037224392169754594,-7.00303155293236e-05,4.245137904534957e-06,-3.044721201472811e-05
2010-05-05,0.0013353351574305616,0.0013834768157854338,0.0013550640408448444,0.0012804415524274582,0.0011973945017376142,0.0008866986266873322,0.0006546739508006549
2010-05-06,0.027540750778699996,0.01876904869717122,0.011053772532135131,0.0072482854455191426,0.005497547605362696,0.004323288178195828,0.003852108276187316
2010-05-07,-0.0016678670070569002,-0.001757922126562672,-0.0022662124874476275,-0.003953051709666422,-0.004411344730158806,-0.004502436458258874,-0.004556199401048011
2010-05-10,-0.0038376790735943356,-0.002111151920589749,-0.0014364156962086705,-0.00024148574388438426,0.00030384071538547275,0.0006166065081691929,0.0007322462910843708
2010-05-11,0.025007551187445465,0.014837475606124473,0.006964766603022143,0.0050016149188194525,0.0037009255684679054,0.002596167939774574,0.0021777425471449785
2010-05-12,0.006306484904970544,0.003524250437132226,0.0014054459739574199,0.0017975364579918551,0.0017705152378790778,0.0015796013001285747,0.0015413386026372766
2010-05-13,-0.006986263630883727,-0.003755044754864989,-0.001114677483265769,-0.001137411210883954,-0.0009445215977282873,-0.0007131337349917111,-0.0005851122541616904
2010-05-14,-0.0021011873691395566,7.218224443295007e-05,0.0019287019636076153,0.001852340731542057,0.0019666824109187964,0.00185703727573161,0.001738678092287893
2010-05-17,-0.00832808237068594,-0.006102712359987383,-0.003898833680342162,-0.002751900089578263,-0.0022840523831189063,-0.002387270366545402,-0.002557377407370276
2010-05-18,0.000491666360801668,0.001984010117292101,0.0034914704492987614,0.0036461145184261134,0.0037730200131391722,0.003911795923657202,0.003955249914482595
2010-05-19,-0.02355449700852419,-0.014450200582962203,-0.006707653191569407,-0.004591976282900867,-0.0033927453990016954,-0.002488183332900684,-0.0021460872186912505
