Date,Relaxed_SSD
2010-04-12,-0.001201453444122196
2010-04-13,0.009351811703505339
2010-04-14,0.011935845668474221
2010-04-15,-0.006512677037639406
2010-04-16,-0.017424737343545944
2010-04-19,-0.0007140541406392379
2010-04-20,0.011873658849363568
2010-04-21,0.008679307004175131
2010-04-22,0.00990439772462683
2010-04-23,0.008953944095729721
2010-04-26,0.0006015161608085007
2010-04-27,-0.02639788798087247
2010-04-28,0.0024566497387319775
2010-04-29,0.026757514518671206
2010-04-30,-0.025227015276435318
2010-05-03,0.01908547500467045
2010-05-04,-0.02148048563247772
2010-05-05,-0.008371910454266471
2010-05-06,-0.01804308585504737
2010-05-07,-0.016739728835883906
2010-05-10,0.040055042277051776
2010-05-11,0.01155534628429826
2010-05-12,0.01776270495314427
2010-05-13,-0.011426497942796193
2010-05-14,-0.017705577496900337
2010-05-17,-0.0012249782082929363
2010-05-18,-0.014403188407314412
2010-05-19,-0.014305850316385439
2010-05-20,-0.03633102805101603
2010-05-21,0.014014562883253423
2010-05-24,-0.006897071316232529
2010-05-25,0.0037901237625683746
2010-05-26,0.0018368121415373304
2010-05-27,0.033672955029531534
2010-05-28,-0.0077814141178337015
2010-06-01,-0.01098795083099966
2010-06-02,0.01585924274244687
2010-06-03,-0.0010216662390533284
2010-06-04,-0.03032308154948302
2010-06-07,-0.004418189793609046
2010-06-08,0.003680198152125475
2010-06-09,-0.0010928467527334367
2010-06-10,0.021484491135052523
2010-06-11,0.010720757474692665
2010-06-14,0.003739557688729586
2010-06-15,0.020612480105393082
2010-06-16,-0.004240963311089115
2010-06-17,0.005490735985298235
2010-06-18,0.0016468832315620155
2010-06-21,-0.01202141002851537
2010-06-22,-0.011587208753586667
2010-06-23,-0.0018574568127861398
2010-06-24,-0.011693063558391658
2010-06-25,0.014199423797916725
2010-06-28,-0.009413943502138374
2010-06-29,-0.024670727902480524
2010-06-30,-0.007617829229227279
2010-07-01,-0.012043173380000776
2010-07-02,-0.004616377460445887
2010-07-06,-0.008968953105358625
2010-07-07,0.013898745511337428
2010-07-08,0.00025623171102724256
2010-07-09,0.004782357069858621
2010-07-12,-0.0015953572721852417
2010-07-13,0.0069284334747284505
2010-07-14,0.0015945721006780495
2010-07-15,0.002346332652412686
2010-07-16,-0.011659075658398785
2010-07-19,-0.0008262885933724564
2010-07-20,0.008541939913069637
2010-07-21,-0.0025791875674666636
2010-07-22,0.009830539973466163
2010-07-23,-0.0016504280124348613
2010-07-26,0.005493578104988537
2010-07-27,-0.008515242728997148
2010-07-28,0.0015311986913050433
2010-07-29,-0.0010621780063085355
2010-07-30,0.010181348543950515
2010-08-02,0.014815797608500094
2010-08-03,-0.003810811498206395
2010-08-04,0.006842886751963665
2010-08-05,-0.006336453908080221
2010-08-06,-0.00018295399699507265
2010-08-09,0.0055142596321732795
2010-08-10,-0.007790940924144764
2010-08-11,-0.01992998317107218
2010-08-12,-0.001972516015004999
2010-08-13,-0.0027097523873773825
2010-08-16,0.006597862297448935
2010-08-17,0.011973186538139382
2010-08-18,0.0026825371507205034
2010-08-19,-0.014645662175535767
2010-08-20,-0.0017714308157754032
2010-08-23,-0.006350172004715846
2010-08-24,-0.0024490536681236142
2010-08-25,0.011786527437232545
2010-08-26,-0.004613365631362726
2010-08-27,0.011099061066396795
2010-08-30,-0.007953976714613077
2010-08-31,0.005340373220566263
2010-09-01,0.000603763071023838
2010-09-02,-0.0001505780026166217
2010-09-03,-0.002157322365617058
2010-09-07,0.004543432257469345
2010-09-08,-0.0026231050913712623
2010-09-09,-0.011747017035432194
2010-09-10,0.00017022735196964086
2010-09-13,0.007277569971979182
2010-09-14,0.0036698719257641306
2010-09-15,-0.002678199783343427
2010-09-16,-0.0058265150714963835
2010-09-17,0.003317113538250487
2010-09-20,0.009739618226373469
2010-09-21,0.0029925747565369217
2010-09-22,-0.0014121407142946246
2010-09-23,-0.006184949696417794
2010-09-24,0.003290986416981702
2010-09-27,0.003848159387112477
2010-09-28,0.0041253865858870715
2010-09-29,-0.004129041724633056
2010-09-30,0.0013980631680104195
2010-10-01,0.0024471065683888565
2010-10-04,0.002832507652624055
2010-10-05,0.00889735300736649
2010-10-06,0.004671498725418154
2010-10-07,-0.004835083446773991
2010-10-08,0.0025312985795040003
2010-10-11,0.0015369364171450189
2010-10-12,-0.0018779109059675072
2010-10-13,0.007440727007248013
2010-10-14,-0.004302019366191048
2010-10-15,-0.006865925074723384
2010-10-18,0.008106921688142225
2010-10-19,-0.010866586513339528
2010-10-20,0.009940132233400513
2010-10-21,-0.008664621178589448
2010-10-22,0.0028206914018235694
2010-10-25,0.0039577280571607264
2010-10-26,-0.007386123215040417
2010-10-27,-0.008451128225641555
2010-10-28,0.003524616655561128
2010-10-29,0.006461266310352382
2010-11-01,0.0023370619147611996
2010-11-02,0.00782931040002856
2010-11-03,-0.00010478552696708133
2010-11-04,0.023052565990280483
2010-11-05,0.0038152357105811345
2010-11-08,0.0014350568236484729
2010-11-09,-0.01981284348574129
2010-11-10,0.009631639979804627
2010-11-11,-0.004343741090064309
2010-11-12,-0.01874573089646941
2010-11-15,-0.0069032703245067014
2010-11-16,-0.02114791766356726
2010-11-17,0.0023390718863450454
2010-11-18,0.01382834314074105
2010-11-19,0.0021310911489280542
2010-11-22,0.005909188684047688
2010-11-23,-0.008205889810812475
2010-11-24,0.01363691176884396
2010-11-26,-0.00746235776849359
2010-11-29,0.0012880668092132735
2010-11-30,-0.0015076870817920716
2010-12-01,0.010412603622144643
2010-12-02,0.008269023633236642
2010-12-03,0.00848443299967211
2010-12-06,0.004336588573794956
2010-12-07,-0.003462284653740551
2010-12-08,-0.007775016434168129
2010-12-09,-0.00039229011814642835
2010-12-10,0.006148883194876996
2010-12-13,0.00011524340895995475
2010-12-14,-0.0024996203275487
2010-12-15,-0.00756184143215001
2010-12-16,0.0019880772053983654
2010-12-17,0.004255949763273348
2010-12-20,0.006711984187858829
2010-12-21,0.007287979403198512
2010-12-22,0.001602902011067851
2010-12-23,-0.0029301965332125843
2010-12-27,0.005364912493336277
2010-12-28,0.005120995351193128
2010-12-29,0.0025382258617357217
2010-12-30,-0.001501000370212699
2010-12-31,0.000916638772846852
2011-01-03,0.009051073970286785
