Date,Minimum_CVaR,Mean_CVaR_lambda_0.005,Mean_CVaR_lambda_0.01,Mean_CVaR_lambda_0.03,Mean_CVaR_lambda_0.05,Mean_CVaR_lambda_0.1,Mean_CVaR_lambda_0.5
2010-04-12,0.001558338753638866,-0.005543798455181048,-0.005739169435653668,0.0005185645066485556,0.0011759432085023391,0.0013729786822769263,0.0015201371815110054
2010-04-13,0.0019429932583778786,-0.0028316050583102603,-0.002771240297966715,0.0011525885513610223,0.0016731062924646434,0.0018244236272328962,0.0019169698720500339
2010-04-14,-8.289498259250738e-05,0.0030170940909450827,0.003952383959471062,0.00015175262507560738,2.87992365077816e-05,-1.9750038847354823e-05,-6.10954651489859e-05
2010-04-15,0.0023569848279636485,0.005485293727277574,0.004604913835942748,0.0025361944585435836,0.002568064721425456,0.0024630028359020617,0.0023914238719833225
2010-04-16,0.0003041889328108116,-0.021205487280134827,-0.0218473281992575,-0.0023591209756280707,-0.0007365718058447435,-0.00021700743686070556,0.00021280778061139038
2010-04-19,-0.002451709799302093,-0.0008090285909879702,-0.0010615721689667401,-0.0020069925054299054,-0.0020007678352353953,-0.0021465800608451158,-0.0023174533818812737
2010-04-20,0.002236179057335974,0.0027890018590548404,0.0035010326638094114,0.001923884922768515,0.0019488937036116205,0.002173961491405585,0.0021506799825929956
2010-04-21,0.003507271541674628,0.007626040537707324,0.006760020552892376,0.004064607409292265,0.003911424205147673,0.003658350850942016,0.0035841640207932013
2010-04-22,-0.0017320964269257333,-0.004184856454427233,-0.0035235786945450043,-0.002054017660820251,-0.001809422504199798,-0.0017749439863594674,-0.0017115695203101522
2010-04-23,0.00011784249314339412,0.01207087039521193,0.011539585780943495,0.0013901927564328176,0.0007027704338795626,0.00044474366596736203,0.00016798748485991055
2010-04-26,-0.00015521106622296,-0.0038872906661941986,-0.00358095835014538,-0.0005239653851393244,-0.00032290894111797197,-0.00020927657328706495,-0.00016545420300650981
2010-04-27,0.004436865043432325,0.016674033160166912,0.01252685342384563,0.006604121491696757,0.00550273617886754,0.00475588389454118,0.004574449790129886
2010-04-28,-0.00360025651684015,-0.0027915877162512093,-0.0019464539648376133,-0.0033887774293824835,-0.003548856694543745,-0.003563435181247576,-0.0036082818285406715
2010-04-29,0.0034875097598039417,-0.00026243351354082733,0.0010115801422763138,0.0028438518422413406,0.003344202814959507,0.0034999708463121504,0.0035252959313827326
2010-04-30,0.004023538919930347,0.009450488590757589,0.007794276784319543,0.004471183414969326,0.0036642849271990574,0.0036942703412776723,0.0037846890373560704
2010-05-03,-0.00033519692244265986,0.003207374693799947,0.003207374742933089,0.00032794382093093155,6.971081947582114e-05,-7.830332805192075e-05,-0.0001903988869024209
2010-05-04,-9.8790343039723e-05,-0.00743109466462244,-0.0074310948660080145,-0.00046979468046715045,-7.014117283710153e-05,-0.00032895814800493195,-0.00015213407954428604
2010-05-05,0.00043532615211017145,0.001915152658951147,0.0019151525040461692,0.0014526900337781257,0.0012046826852545323,0.0007176675359892304,0.0006886643123322767
2010-05-06,0.0044210419894807895,0.029542111682655303,0.02954211100505222,0.008447053796551307,0.0062350680219520616,0.0048328923553091485,0.004574724950211717
2010-05-07,-0.00412912720130354,-0.0018567071037006722,-0.001856707123911172,-0.0034030931079241933,-0.00400681639485756,-0.004199506336129866,-0.004287437627360613
2010-05-10,0.0002458159010627625,-0.005918635052979182,-0.005918634498907838,-0.0006775425973454263,-0.0001299176958781123,0.0005244152243191191,0.00043336530696902464
2010-05-11,0.0026835336031516555,0.026282248660447927,0.026282248226022764,0.006193512264742296,0.004628729361910278,0.003550464438623946,0.0029509839901846746
2010-05-12,0.001554682278187336,0.006132917630899959,0.006132917655527814,0.0015531969156237224,0.001711204538076494,0.0018540458503439883,0.0016313108094583306
2010-05-13,-0.0006941142755473306,-0.006919307716036549,-0.006919307703375344,-0.0010920569290381321,-0.0009650998770784902,-0.0009730539714050135,-0.000782891440673672
2010-05-14,0.0016647552210140582,-0.0015759357661579987,-0.0015759358927328604,0.0017202421059321349,0.001885874770638729,0.001663934656666255,0.0017050285354085482
2010-05-17,-0.002923699294302695,-0.008390812603895514,-0.00839081253874352,-0.0030055603181654567,-0.0024574752787761556,-0.0025484218461812036,-0.0026660872126539337
2010-05-18,0.004040406331735413,0.0010891190738522294,0.0010891189385147104,0.003550995026840198,0.0037482866535651915,0.003740926816442336,0.003910428494469764
2010-05-19,-0.0026736881555083913,-0.02393506286136249,-0.023935062627726378,-0.005482583769704341,-0.004082725915128038,-0.003397290892709459,-0.0028502056475510074
2010-05-20,0.0003405368778277573,-0.006773565414719074,-0.006773565665071146,0.0004529548622538293,0.00024762147334778106,-0.00019584842723818774,0.0002744068280791101
2010-05-21,0.002862610142252864,-0.00535216796088378,-0.005352167666378027,0.0008825949386994658,0.0017221419606148203,0.0025178603078839235,0.002637448375917728
2010-05-24,0.0009111009630067279,0.014060016488657956,0.01406001621285835,0.002638337968459137,0.0019009624665926594,0.0013768084738177144,0.0010204491554681727
2010-05-25,0.0025389959058084166,0.004450567345973155,0.004450567256248483,0.0027408256467196246,0.0027483273457995505,0.002636330894807415,0.0026084818141214328
2010-05-26,-0.0023417108807241016,0.009458082860134276,0.009458082717104466,-0.00014977953755068718,-0.0015723882487648222,-0.002205958538955999,-0.0023273302398583162
2010-05-27,-0.0020228985469130656,0.001857020500312112,0.0018570208347021833,-0.0022111155452605447,-0.0023472763257061935,-0.0018675779795543912,-0.0020017858960637014
2010-05-28,0.0028541272728068723,0.0016007650856826316,0.0016007649674132374,0.0024512333285489074,0.002787757403147406,0.0028103548738835915,0.002833814839089621
2010-06-01,-0.00021750379818863408,0.008664253294772717,0.008664253297040236,0.0018154382515231937,0.0012217421932627648,0.0006305642663428923,-1.020385697125814e-05
2010-06-02,-0.00134563560568135,-0.0010841871261112468,-0.0010841871290205862,-0.0022316449888220014,-0.0015448430107359856,-0.0012241358777168587,-0.0012168375477711324
