Date,GMV
2010-04-12,0.0019146284568092309
2010-04-13,0.0021358356741654205
2010-04-14,3.011538302000183e-05
2010-04-15,0.00222915885001429
2010-04-16,0.0011635907869169682
2010-04-19,-0.0025924990935850545
2010-04-20,0.002196875458361003
2010-04-21,0.0034550118867451296
2010-04-22,-0.0014352303885550866
2010-04-23,-0.00035804679628204106
2010-04-26,-6.264003288825037e-05
2010-04-27,0.0038774926114759634
2010-04-28,-0.003640835225853789
2010-04-29,0.0038128664070333773
2010-04-30,0.003391373324707736
2010-05-03,-0.00018798013564502725
2010-05-04,-5.988173967841348e-05
2010-05-05,0.0004157021281923079
2010-05-06,0.0033653786760396986
2010-05-07,-0.00460611387981924
2010-05-10,0.0008516960096671689
2010-05-11,0.0017696442430745751
2010-05-12,0.0015075230135910278
2010-05-13,-0.0004436203483990653
2010-05-14,0.0016211083641504143
2010-05-17,-0.002721494530970703
2010-05-18,0.003993419335443615
2010-05-19,-0.001803529544641358
2010-05-20,0.0005897371013645625
2010-05-21,0.003032024793447885
2010-05-24,0.00017800686700741863
2010-05-25,0.0024757014337259964
2010-05-26,-0.0025791394987926264
2010-05-27,-0.0019097145475699406
2010-05-28,0.002719716400237049
2010-06-01,-0.000952988512015418
2010-06-02,-0.0010611480135185314
2010-06-03,-0.0004345899825183297
2010-06-04,0.00546621901063693
2010-06-07,0.0014808900260425695
2010-06-08,-0.002198262183580657
2010-06-09,-0.00039260730369261587
2010-06-10,-0.00333661233377458
2010-06-11,0.006197962920311717
2010-06-14,-0.0005176416472767453
2010-06-15,0.0020767973247157734
2010-06-16,0.002302653083521511
2010-06-17,0.004934404592504382
2010-06-18,-0.0008488031195778012
2010-06-21,-0.0020107601307431944
2010-06-22,0.0032130357141324506
2010-06-23,0.0015790596135027979
2010-06-24,-0.0024909587075181427
2010-06-25,0.0029025971988778654
2010-06-28,0.004202338764326852
2010-06-29,-0.0021731879917554764
2010-06-30,-6.413289587225979e-05
2010-07-01,-0.002284223693882814
2010-07-02,-0.001360462367347548
2010-07-06,0.0019812069710085645
2010-07-07,0.002994994971887932
