Date,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
2010-04-12,5.525908950612488e-05,0.08381702034091995,0.012729914415183502,5.587050465341217e-06,5.722919894407082e-06,0.7428037306437227,3.5856139642674158e-06,0.005075068111306593,0.08110315348495041,0.038078210960739614,0.03630925520426533,1.3492165081421964e-05
2010-05-03,6.639573164046333e-05,0.08485945458502493,0.01216757875834904,5.801829458956445e-06,5.915947855387163e-06,0.7419225587135002,3.6825155636062047e-06,0.005622455780779904,0.08104525683008655,0.038085522234085414,0.036201673762320905,1.3703311334499541e-05
2010-06-01,6.26459276969776e-05,0.08435534513921465,0.01251034978244528,5.3751323923283085e-06,5.581912246910224e-06,0.7399565430087813,4.0911785446973885e-06,0.009111385918899007,0.07925971966186406,0.03752278355506002,0.037193438207867906,1.2740574986670008e-05
2010-07-01,7.825027536457937e-05,0.082353912869861,0.016214857944792205,5.376264117042069e-06,5.4850084018987785e-06,0.7391981801969008,3.703624079163827e-06,0.010840387716406935,0.07718340002802984,0.03757459949075947,0.03652913734957506,1.2709231711837915e-05
2010-08-02,7.093955044132901e-05,0.08064923254101895,0.017364677590682956,5.287325901403751e-06,5.298085629457117e-06,0.7395790929141589,3.532102393221408e-06,0.010782119437000694,0.07871200883899658,0.03784376190862938,0.03497180291997776,1.224678516927266e-05
2010-09-01,6.503464801629653e-05,0.08298191753088673,0.01643443541981356,5.386440188782264e-06,5.2248608421627605e-06,0.7386731283320878,3.7373240117647998e-06,0.00960523506468499,0.07840233262588997,0.037465400490885044,0.03634647855458728,1.1688708105729728e-05
2010-10-01,8.22821242401176e-05,0.08212556789731656,0.0163416047729931,6.932187937021422e-06,6.716652181646623e-06,0.7407364511626815,4.766180715333419e-06,0.0052414148755000065,0.08257486558807986,0.035457467266736424,0.037407172523903964,1.4758767714447722e-05
2010-11-01,8.420198983472223e-05,0.08760084382627513,0.011370680192546499,7.769602110667892e-06,7.659539574723815e-06,0.7416115362578942,5.624291800170973e-06,0.004357277053974021,0.08386796344476484,0.03441057613494597,0.03665833517699635,1.7532489282549885e-05
2010-12-01,0.00010566037855050766,0.09117005969909978,0.005367435013558354,1.0399716976096259e-05,9.526346235865955e-06,0.7424038289520299,7.890185175233844e-06,0.0038410477331060158,0.08823829111152369,0.03174021194471574,0.0370815833613293,2.4065557699409973e-05
2011-01-03,9.917522709354468e-05,0.08983978768673917,0.0034894937691329346,1.0869761369396215e-05,9.15912871378802e-06,0.7383905151965385,8.31840660651893e-06,0.0046110321932568395,0.09232314505261965,0.03147878865681439,0.03971603767170437,2.3677249410950623e-05
