Date,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
2010-04-12,0.2999929683201874,0.2999979127048453,5.682705712080734e-07,0.10000678692786796,1.7280487421533109e-07,1.5839006669280326e-07,2.3813806515885177e-07,5.103745067029606e-07,6.100630107597695e-07,2.746545302744573e-07,0.2999997993514743
2010-05-03,0.10000499554851543,0.2999947452188555,4.1950427481021503e-07,1.3919042221097958e-06,4.322938714909882e-07,4.0234619478463204e-07,5.765404845532714e-07,9.763044514056551e-07,0.29999588682644923,3.7435632104738617e-07,0.29999979915635966
2010-06-01,0.22669089597415235,0.17330883569608363,3.804073721920468e-09,1.37786710423887e-08,4.928697458677123e-08,5.174800260098228e-08,2.1197892285950343e-08,1.3777569910257817e-07,0.2999999936566854,6.290450154868146e-09,0.2999999907913151
2010-07-01,4.7936638897384515e-08,1.0158757723394874e-07,4.728108979388515e-08,6.818269529519364e-08,0.10000192790133887,0.2999963255905283,9.301136027808164e-07,6.275036058748053e-07,0.2999999375018865,7.002901126307467e-08,0.2999999163720252
2010-08-02,0.02457995694407315,0.2999996031138329,9.898767954317974e-08,2.7917535238455974e-06,9.081648563254942e-07,0.07537992132534443,8.582055021952555e-07,3.656258478032724e-05,0.29999928756586264,7.881558856583203e-08,0.2999999325389562
2010-09-01,1.8054761904055258e-07,8.840927716872301e-07,8.493294036457041e-08,2.1875399081569076e-07,0.10000324100632658,0.29999986447032007,0.2999939891367007,8.490097648265585e-07,6.905309537817999e-07,6.676718618008511e-08,0.29999993075142606
2010-10-01,5.48457625557134e-07,9.88273386552297e-07,1.9125527381997867e-07,8.881982484044302e-07,0.09999690616703374,0.2999994721051251,1.1064307585988073e-06,4.2847149312593314e-07,0.29999964672361246,1.1521655533519727e-07,0.2999997087008873
2010-11-01,0.2999991197316711,2.0952726645937672e-08,8.283982586681925e-09,0.10000094316774687,7.088242730501819e-09,8.153618577452917e-09,6.375312943354283e-09,7.766536652930689e-09,0.2999998777252403,7.614818593942374e-09,0.29999999314010306
2010-12-01,0.15363827103526684,0.24635615147926446,2.6131527101715444e-07,4.013479232487286e-06,5.117753567866886e-07,6.919989258606849e-07,3.6078342712341876e-07,3.767035284931307e-07,0.29999957695578394,2.787828755877929e-07,0.29999950569106754
2011-01-03,5.095571074906579e-07,0.25220233146944815,4.449754172093431e-08,1.4188591218334846e-07,9.746944018994124e-08,2.8455462933842847e-07,6.617515633413477e-08,1.0656100900554038e-07,0.2999999629786002,0.14779716152548664,0.29999929332566877
2011-02-01,0.299999722722544,1.3014730313679378e-07,1.2653006073280427e-06,2.0498887649958044e-07,5.6696842886115045e-08,4.141878363050985e-08,4.631016989364504e-08,8.735678787496006e-08,0.1116678811211658,0.2999998794032741,0.2883306845336449
2011-03-01,0.29999994043414857,0.07824887597443311,0.29999995276423336,1.5015530124893485e-07,1.4780384616525916e-08,1.2767098917416671e-08,2.245045700860042e-08,1.0081231358169994e-07,1.1051393815429143e-07,0.2999999791617118,0.021750840185979718
2011-04-01,0.2999997859908516,0.29999972087204757,3.0857534406833437e-06,0.09999620636453556,3.888346606278907e-08,3.269274023530213e-08,4.604012613014048e-08,1.1120917730297081e-07,1.0574473523901585e-07,0.29999986118002414,1.0052688556016743e-06
2011-05-02,0.09999997719810266,0.29999897720941027,7.782797042245479e-07,5.332201732048937e-07,7.351572226852782e-08,6.418785489059985e-08,8.829629973565109e-08,1.5242383679110284e-07,0.29999845606302494,0.2999996239442226,1.2756616485871505e-06
2011-06-01,0.299999589563204,0.29999981399084347,9.297460195694069e-07,4.0567709779413227e-07,7.197674642184389e-08,5.273054526632017e-08,8.208223300487944e-08,1.8809704732894258e-07,1.2816709890100234e-06,0.29999967015229206,0.09999791431298209
2011-07-01,0.11054376077462798,0.29999993421456866,3.682577130823079e-08,1.8016612961532026e-08,1.3063793386688631e-08,8.13976493163876e-09,1.4746586792369436e-08,3.2794369977539414e-08,4.15833559406034e-07,0.299999873720503,0.28945589186984155
2011-08-01,2.538471733866953e-07,0.20145189233859576,4.6272762277654333e-08,3.63053365406841e-08,2.9898099760630216e-08,2.816586920566035e-08,3.502713222712775e-08,4.90316737752589e-08,0.2999998297857909,0.29999988780617964,0.1985479115213866
2011-09-01,1.1200805641113619e-08,1.6323479700638222e-08,1.6305179707361383e-08,1.4664358134316059e-08,1.1159513755646188e-08,0.29999892031339304,1.5414220291323376e-08,1.599950159301874e-08,0.2999999864968507,0.29999997716846033,0.10000101495423712
2011-10-03,1.1958566945551797e-07,1.6573887818804814e-08,1.739295138704334e-08,9.904334196855764e-09,0.29999986922185967,0.2999999905856305,0.09999984844358781,7.551756782740829e-08,0.2999999260551477,5.211285266718196e-08,7.46065108889541e-08
2011-11-01,6.575207515089642e-08,1.331079132130099e-08,1.0937607058464822e-08,1.1123817749946852e-08,0.2999998387852735,0.29999998212626555,0.09999971837025128,1.703545055910684e-08,0.2999999773846378,1.3013957070379143e-08,3.521598731084583e-07
