Gamma,Average Monthly Turnover,Median Monthly Turnover,Maximum Monthly Turnover
1,0.08081001062798861,2.0080114802729536e-06,0.7438672636980791
2,0.10868143943363708,0.06298563750862571,0.6011288930619733
5,0.1421665256022756,0.12388311439931023,0.5743847745135666
10,0.15399985122561857,0.12170750314924617,0.5689607547147528
20,0.1357975483234059,0.10899368018800275,0.511719083480129
50,0.05397138693613618,0.04227287778976778,0.2548241299559145
100,0.028243761492701643,0.018495092600325832,0.2721205331985286
